property_name,society,address,price,rate_per_sqft,total_area_sqft,area_type,bedRoom,bathroom,balcony,additionalRoom,current_floor,total_floors,facing,furnish_status,furnishDetails,features,rating,area_sqft,Environment,Safety,Lifestyle,Connectivity,Green Area,Amenitie,Management,Construction,avg_rating
2BHKFlatinSector81Gurgaon,Signature Global City 81,"Sector 81 Gurgaon, Gurgaon, Haryana",9600000.0,9767.0,1075.0,Carpet area,2.0,2.0,2.0,None,1.0,4.0,Unknown,Unfurnished,Not Specified,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",4.5,1075.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0
2BHKFlatinSohna,HCBS Sports Ville3.6 ★,"Sohna, Gurgaon, Haryana",2900000.0,5587.0,519.0,Carpet area,2.0,2.0,1.0,None,4.0,13.0,Unknown,Unfurnished,Not Specified,"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",4.0,519.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,3.6
3BHKFlatinSector79Gurgaon,Supertech Araville,"Sector 79 Gurgaon, Gurgaon, Haryana",6500000.0,6940.0,1945.0,Carpet area,3.0,3.0,3.0,None,4.0,15.0,Unknown,Semi-Furnished,"['1 Water Purifier', '2 Fan', '1 Geyser', '3 Light', '2 AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine']",Not Mentioned,4.0,1945.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,3.75
2BHKFlatinSector33Gurgaon,Godrej,"Flat No. :- 301, Sector 33 Gurgaon, Gurgaon, Haryana",9500000.0,6859.0,1385.0,Unknown,2.0,2.0,3.0,None,3.0,20.0,South-East,Unfurnished,Not Specified,Not Mentioned,3.0,1385.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,3.75
2BHKFlatinSector90Gurgaon,Shree Vardhman Flora3.8 ★,"Sector 90 Gurgaon, Gurgaon, Haryana",7000000.0,5384.0,1300.0,Unknown,2.0,2.0,3.0,Study Room,13.0,13.0,Unknown,Unfurnished,Not Specified,"['Intercom Facility', 'Lift(s)', 'Park']",5.0,1300.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.8
4BHKFlatinSector108Gurgaon,Sobha City,"Sector 108, Sector 108 Gurgaon, Gurgaon, Haryana",6500000.0,16859.0,2343.0,Built Up area,4.0,5.0,3.0,None,25.0,25.0,Unknown,Semi-Furnished,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",Not Mentioned,4.0,2343.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0
1BHKFlatinSector62Gurgaon,Senate Court,"Senate Court, Sector 62, Gurgaon, Sector 62 Gurgaon, Gurgaon, Haryana",9000000.0,14084.0,639.0,Built Up area,1.0,1.0,3.0,None,1.0,1.0,Unknown,Unfurnished,Not Specified,Not Mentioned,4.0,639.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.25
2BHKFlatinSector102Gurgaon,Shapoorji Pallonji Joyville Gurugram4.0 ★,"G04, Sector 102 Gurgaon, Gurgaon, Haryana",6500000.0,11475.0,915.0,Carpet area,2.0,2.0,2.0,None,14.0,14.0,Unknown,Unfurnished,[],"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",4.0,915.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.4
2BHKFlatinSector93Gurgaon,Signature Global Orchard Avenue 2,"L-1104, Sector 93 Gurgaon, Gurgaon, Haryana",6500000.0,8333.0,577.11,Carpet area,2.0,2.0,3.0,None,11.0,14.0,East,Unfurnished,Not Specified,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",4.5,577.11,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.333333333333333
3BHKFlatinSector-33Sohna,Central Park Flower Valley,"Sector-33 Sohna, Gurgaon, Haryana",6500000.0,10476.0,2100.0,Unknown,3.0,3.0,3.0,Servant Room,12.0,13.0,North-East,Semi-Furnished,"['1 Wardrobe', '1 Fan', '1 Exhaust Fan', '1 Geyser', '1 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",4.5,2100.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.333333333333333
2BHKFlatinSector89Gurgaon,Smart World Gems,"Sector 89 Gurgaon, Gurgaon, Haryana",6500000.0,9156.0,1103.0,Carpet area,2.0,2.0,2.0,Study Room,4.0,4.0,Unknown,Unfurnished,Not Specified,"['Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Piped-gas', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Club house / Community Center']",4.0,1103.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0
3BHKFlatinSector79Gurgaon,Bestech Altura,"Sector 79 Gurgaon, Gurgaon, Haryana",6500000.0,8604.0,2150.0,Unknown,3.0,4.0,3.0,Servant Room,11.0,22.0,North,Semi-Furnished,"['5 AC', '1 Chimney', '1 Modular Kitchen', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",4.0,2150.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,3.75
2BHKFlatinSector89Gurgaon,Smart World Gems,"Sector 89 Gurgaon, Gurgaon, Haryana",8600000.0,7796.0,1103.0,Unknown,2.0,3.0,3.0,None,4.0,4.0,Unknown,Unfurnished,[],Not Mentioned,4.0,1103.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0
3BHKFlatinSector102Gurgaon,Emaar Imperial Gardens3.8 ★,"Sector 102 Gurgaon, Gurgaon, Haryana",6500000.0,9135.0,2025.0,Carpet area,3.0,3.0,3.0,Servant Room,14.0,14.0,South-West,Semi-Furnished,"['5 Wardrobe', '8 Fan', '1 Exhaust Fan', '20 Light', '5 AC', '1 Modular Kitchen', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']",5.0,2025.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.666666666666667
3BHKFlatinSector113Gurgaon,La Vida by Tata Housing,"Sector 113 Gurgaon , Gurgaon, Haryana",6500000.0,12855.0,2217.0,Unknown,3.0,3.0,3.0,Servant Room,10.0,25.0,East,Unfurnished,Not Specified,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",4.5,2217.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.333333333333333
5BHKFlatinSector1Gurgaon,The New People Apartments,"Sector 1, Sector 1 Gurgaon, Gurgaon, Haryana",6500000.0,8333.0,4500.0,Built Up area,5.0,1.0,3.0,None,1.0,1.0,Unknown,Unfurnished,Not Specified,Not Mentioned,4.5,4500.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.333333333333333
2BHKFlatinSector36Gurgaon,The Serenas,"Sohna Sector 36, Sector 36 Gurgaon, Gurgaon, Haryana",4200000.0,7910.0,531.0,Carpet area,2.0,2.0,1.0,None,3.0,3.0,Unknown,Semi-Furnished,"['1 Wardrobe', '1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",Not Mentioned,4.5,531.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.333333333333333
3BHKFlatinSector65Gurgaon,M3M Golfestate4.4 ★,"Sector 65, Sector 65 Gurgaon, Gurgaon, Haryana",6500000.0,18331.0,3355.0,Built Up area,3.0,4.0,2.0,None,20.0,20.0,North-East,Unfurnished,Not Specified,Not Mentioned,5.0,3355.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0
3BHKFlatinSector48Gurgaon,Central Park Resort Belgravia Residences,"Sector 48 Gurgaon, Gurgaon, Haryana",6500000.0,24300.0,2880.0,Carpet area,3.0,5.0,3.0,Servant Room,5.0,17.0,South-East,Semi-Furnished,"['6 Fan', '1 Exhaust Fan', '4 Geyser', '55 Light', '1 Chimney', '1 Modular Kitchen', '10 Wardrobe', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",4.0,2880.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.25
2BHKFlatinSector37CGurgaon,Apex builders,"Sector 37C Gurgaon, Gurgaon, Haryana",4200000.0,5600.0,750.0,Carpet area,2.0,2.0,2.0,None,4.0,12.0,North,Unfurnished,Not Specified,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",5.0,750.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.25
2BHKFlatinSector3Gurgaon,Godrej Habitat,"Godrej Habitat, Sector-3, Gurgaon, Sector 3 Gurgaon, Gurgaon, Haryana",6500000.0,12784.0,1056.0,Built Up area,2.0,2.0,3.0,None,4.0,4.0,North-East,Semi-Furnished,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",Not Mentioned,4.5,1056.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0
2BHKFlatinNewPalamVihar,Ompee K S Residency,"New Palam Vihar, Gurgaon, Haryana",6500000.0,26936.0,66.0,Carpet area,2.0,2.0,2.0,None,1.0,4.0,Unknown,Unfurnished,Not Specified,Not Mentioned,4.0,66.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0
4BHKFlatinSector43Gurgaon,Bhawna CGHS,"Sector 43 Gurgaon, Gurgaon, Haryana",6500000.0,10156.0,3200.0,Carpet area,4.0,4.0,3.0,Pooja Room,12.0,12.0,Unknown,Semi-Furnished,"['7 Fan', '11 Light', '7 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No Bed', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant']",4.0,3200.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.25
2BHKFlatinSector88AGurgaon,Adani Aangan Arcade,"Tower A-4, Flat No. 804, Sector 88A Gurgaon, Gurgaon, Haryana",4500000.0,7194.0,625.47,Carpet area,2.0,2.0,1.0,None,8.0,12.0,Unknown,Semi-Furnished,"['1 Modular Kitchen', '2 Wardrobe', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Maintenance Staff', 'Park']",4.5,625.47,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.333333333333333
3BHKFlatinSector92Gurgaon,Sare Green Parc,"Sector 92, Sector 92 Gurgaon, Gurgaon, Haryana",8500000.0,6538.0,1300.0,Built Up area,3.0,2.0,2.0,None,20.0,20.0,Unknown,Unfurnished,Not Specified,Not Mentioned,5.0,1300.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0
2BHKFlatinSector90Gurgaon,Shree Vardhman Flora3.8 ★,"Sector 90, Sector 90 Gurgaon, Gurgaon, Haryana",7500000.0,5769.0,1300.0,Carpet area,2.0,2.0,3.0,None,8.0,8.0,North-East,Semi-Furnished,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",Not Mentioned,5.0,1300.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.8
2BHKFlatinSector68Gurgaon,Supertech Hues,"Sector-68 Gurgaon, Sector 68 Gurgaon, Gurgaon, Haryana",8200000.0,6950.0,1180.0,Unknown,2.0,2.0,3.0,Others,21.0,24.0,Unknown,Unfurnished,Not Specified,"['Intercom Facility', 'Lift(s)', 'Feng Shui / Vaastu Compliant', 'Piped-gas', 'Security Personnel', 'Maintenance Staff', 'Internet/wi-fi connectivity', 'Swimming Pool', 'Park', 'Club house / Community Center', 'Fitness Centre / GYM', 'Water softening plant', 'Shopping Centre', 'Rain Water Harvesting']",4.0,1180.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0
3BHKFlatinSector109Gurgaon,Chintels Paradiso3.9 ★,"Sector 109 Gurgaon, Gurgaon, Haryana",6500000.0,8866.0,2030.0,Carpet area,3.0,3.0,2.0,Servant Room,11.0,11.0,East,Unfurnished,Not Specified,"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'Bank Attached Property', 'Visitor Parking', 'Park', 'Natural Light', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",5.0,2030.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.6
2BHKFlatinSohna,Breez Global Hill View,"T 3, Sohna, Gurgaon, Haryana",2999000.0,5403.0,655.0,Carpet area,2.0,2.0,2.0,None,6.0,19.0,North-East,Semi-Furnished,"['1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Private Garden / Terrace', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",4.0,655.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.25
2BHKFlatinSector37CGurgaon,ILD Greens4.1 ★,"101, Tower-7, Sector 37C Gurgaon, Gurgaon, Haryana",7800000.0,5714.0,1365.0,Built Up area,2.0,2.0,3.0,None,1.0,19.0,North,Semi-Furnished,"['2 Wardrobe', '3 Fan', '1 Exhaust Fan', '1 Geyser', '10 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",5.0,1365.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0
3BHKFlatinSector43Gurgaon,Ansal Sushant Lok CI,"C 488,1 St Floor, Sector 43 Gurgaon, Gurgaon, Haryana",6500000.0,15151.0,1320.0,Carpet area,3.0,3.0,2.0,Servant Room,1.0,3.0,North,Fully-Furnished,"['3 Bed', '5 Wardrobe', '6 Fan', '1 Sofa', '1 Exhaust Fan', '1 Dining Table', '3 Geyser', '2 TV', '1 Curtains', 'No AC', 'No Chimney', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Stove', 'No Washing Machine', 'No Water Purifier']","['Water Storage', 'Park']",4.0,1320.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.25
2BHKFlatinSohna,Ashiana Mulberry,"Sohna, Gurgaon, Haryana",7400000.0,6200.0,1210.0,Carpet area,2.0,2.0,3.0,None,12.0,17.0,North-West,Semi-Furnished,"['1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",4.0,1210.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.25
3BHKFlatinSector106Gurgaon,Godrej Meridien,"609, Sector 106 Gurgaon, Gurgaon, Haryana",6500000.0,16000.0,2002.0,Carpet area,3.0,3.0,3.0,Servant Room,6.0,24.0,Unknown,Unfurnished,[],"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",4.5,2002.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.333333333333333
4BHKFlatinSector82Gurgaon,Mapsko Casa Bella3.8 ★,"Sector 82 Gurgaon, Gurgaon, Haryana",6500000.0,6378.0,1960.0,Unknown,4.0,4.0,3.0,Servant Room,1.0,25.0,North,Unfurnished,Not Specified,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",4.5,1960.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0
2BHKFlatinAshokViharPhase3Extension,Pooja Apartment,"Flat No 201, Ashok Vihar Phase 3 Extension, Gurgaon, Haryana",2500000.0,3571.0,700.0,Carpet area,2.0,2.0,2.0,None,2.0,4.0,East,Semi-Furnished,"['2 Fan', '2 Geyser', '6 Light', '1 Chimney', '2 Wardrobe', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",Not Mentioned,3.0,700.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,3.75
